Ticker,Ticker_Name,Factsheet
ACDS81,ACDS81_中國信託全球短期高收益債券基金-NB分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS81&b=58341&c=649
ACDS82,ACDS82_中國信託全球短期高收益債券基金-NB分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS82&b=58341&c=650
ACDS69,ACDS69_中國信託全球短期高收益債券基金-分配型(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS69&b=57931&c=659
ACDS42,ACDS42_中國信託全球短期高收益債券基金-分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS42&b=58334&c=648
ACDS43,ACDS43_中國信託全球短期高收益債券基金-分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS43&b=58334&c=649
ACDS68,ACDS68_中國信託全球短期高收益債券基金-累積型(人民幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS68&b=58340&c=653
ACDS40,ACDS40_中國信託全球短期高收益債券基金-累積型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS40&b=58333&c=645
ACDS41,ACDS41_中國信託全球短期高收益債券基金-累積型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS41&b=58333&c=646
ACDS88,ACDS88_中國信託亞太實質收息多重資產基金-NB分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS88&b=58343&c=658
ACDS91,ACDS91_中國信託亞太實質收息多重資產基金-NB分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS91&b=58344&c=653
ACDS93,ACDS93_中國信託亞太實質收息多重資產基金-NB分配型(澳幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS93&b=58345&c=656
ACDS87,ACDS87_中國信託亞太實質收息多重資產基金-分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS87&b=58343&c=657
ACDS90,ACDS90_中國信託亞太實質收息多重資產基金-分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS90&b=58344&c=652
ACDS92,ACDS92_中國信託亞太實質收息多重資產基金-分配型(澳幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS92&b=58345&c=655
ACDS86,ACDS86_中國信託亞太實質收息多重資產基金-累積型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS86&b=58343&c=656
ACDS89,ACDS89_中國信託亞太實質收息多重資產基金-累積型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS89&b=58344&c=660
ACDS75,ACDS75_中國信託美國政府0至1年期債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS75&b=58324&c=653
ACDS65,ACDS65_中國信託美國政府20年期以上債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS65&b=58326&c=654
ACDS70,ACDS70_中國信託美國高評級市政債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS70&b=58325&c=649
ACDS63,ACDS63_中國信託彭博巴克萊10年期以上高評級美元公司債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS63&b=58327&c=653
ACDS64,ACDS64_中國信託彭博巴克萊10年期以上優先順位金融債券ETF基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS64&b=58327&c=654
ACDS59,ACDS59_中國信託智慧城市建設基金(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS59&b=58328&c=659
ACDS60,ACDS60_中國信託智慧城市建設基金(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS60&b=58329&c=652
ACDS13,ACDS13_中國信託華盈貨幣市場基金,https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS13&b=58339&c=651
ACDS94,ACDS94_中國信託越南機會基金(台幣),
ACDS95,ACDS95_中國信託越南機會基金(美元),
ACDS79,ACDS79_中國信託雄鷹新興市場債券基金-NB分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS79&b=58340&c=655
ACDS80,ACDS80_中國信託雄鷹新興市場債券基金-NB分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS80&b=58341&c=648
ACDS48,ACDS48_中國信託雄鷹新興市場債券基金-分配型(台幣),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS48&b=58332&c=652
ACDS49,ACDS49_中國信託雄鷹新興市場債券基金-分配型(美元),https://fundreport.moneydj.com/GetFundMonthReport1.asp?A=ACDS49&b=58332&c=653
